0, target plane transform 0.151594 1.06992 0.538642 0 0 0 1
0, grid mapping [0 0 0 -0.125  0.125 0.02659401 1.19492 0.563642] [3 1 0 -0.125  0 0.02659401 1.06992 0.563642] [6 2 0 -0.125  -0.125 0.02659401 0.9449199 0.563642] [1 0 1 0  0.125 0.151594 1.19492 0.563642] [4 1 1 0  0 0.151594 1.06992 0.563642] [7 2 1 0  -0.125 0.151594 0.9449199 0.563642] [2 0 2 0.125  0.125 0.276594 1.19492 0.563642] [5 1 2 0.125  0 0.276594 1.06992 0.563642] [8 2 2 0.125  -0.125 0.276594 0.9449199 0.563642]
0.09999999, target_spawn, target ID 0, grid ID 2
1.198, target_miss, target ID 0, grid ID 2
1.55, target_spawn, target ID 1, grid ID 7
2.25, target_hit, target ID 1, grid ID 7, velocity -0.1336642 2.09364 1.075837
2.65, target_spawn, target ID 2, grid ID 3
3.15, target_hit, target ID 2, grid ID 3, velocity -0.6875154 2.770782 0.9949471
3.55, target_spawn, target ID 3, grid ID 1
4.648, target_miss, target ID 3, grid ID 1
5, target_spawn, target ID 4, grid ID 8
5.65, target_hit, target ID 4, grid ID 8, velocity -0.03720929 2.017341 1.148648
6.05, target_spawn, target ID 5, grid ID 5
6.55, target_hit, target ID 5, grid ID 5, velocity -0.3653992 2.412715 0.9221452
6.95, target_spawn, target ID 6, grid ID 2
8.048, target_miss, target ID 6, grid ID 2
8.4, target_spawn, target ID 7, grid ID 7
8.700001, target_contact, target ID 7, grid ID 7, velocity 0.9461888 -3.220683 0.6475537
9.1, target_hit, target ID 7, grid ID 7, velocity 0.05794991 2.027253 1.405275
9.499999, target_spawn, target ID 8, grid ID 2
10.598, target_miss, target ID 8, grid ID 2
10.95, target_spawn, target ID 9, grid ID 2
12.05, target_miss, target ID 9, grid ID 2
12.4, target_spawn, target ID 10, grid ID 3
12.6, target_contact, target ID 10, grid ID 3, velocity -1.104237 3.14188 0.7523192
13.498, target_miss, target ID 10, grid ID 3
13.85, target_spawn, target ID 11, grid ID 5
14.15, target_hit, target ID 11, grid ID 5, velocity 0.1357739 2.791813 0.9633505
14.55, target_spawn, target ID 12, grid ID 5
15, target_hit, target ID 12, grid ID 5, velocity -0.08983898 2.544186 0.8085435
15.4, target_spawn, target ID 13, grid ID 7
15.75, target_hit, target ID 13, grid ID 7, velocity -0.1254726 1.869948 0.9375235
16.15, target_spawn, target ID 14, grid ID 6
16.6, target_hit, target ID 14, grid ID 6, velocity -0.6321914 1.832603 0.8732198
17, target_spawn, target ID 15, grid ID 5
17.45, target_hit, target ID 15, grid ID 5, velocity -0.1465509 2.307465 1.33139
17.85, target_spawn, target ID 16, grid ID 1
18.35, target_contact, target ID 16, grid ID 1, velocity -0.7549827 2.864809 0.4334495
18.7, target_hit, target ID 16, grid ID 1, velocity 1.184483 -1.954557 0.9958441
19.1, target_spawn, target ID 17, grid ID 2
20.198, target_miss, target ID 17, grid ID 2
20.55, target_spawn, target ID 18, grid ID 3
21.15, target_hit, target ID 18, grid ID 3, velocity 0.6302892 -1.732268 1.100632
21.55, target_spawn, target ID 19, grid ID 5
22.45, target_hit, target ID 19, grid ID 5, velocity -0.1017766 2.538254 1.02203
22.85, target_spawn, target ID 20, grid ID 6
23.25, target_hit, target ID 20, grid ID 6, velocity -0.4736172 2.25768 1.096661
