condition easy, random seed 330487
timestamp, left_pos_x, left_pos_y, left_pos_z, left_quat_x, left_quat_y, left_quat_z, left_quat_w, right_pos_x, right_pos_y, right_pos_z, right_quat_x, right_quat_y, right_quat_z, right_quat_w, head_pos_x, head_pos_y, head_pos_z, head_quat_x, head_quat_y, head_quat_z, head_quat_w, marker_pos_x, marker_pos_y, marker_pos_z, marker_quat_x, marker_quat_y, marker_quat_z, marker_quat_w
0, 0, 0, 0, 0, 0, 0, 1, 0.1816105, 0.3534481, 0.09694156, -0.357626, -0.00490161, 0.212916, -0.909256, 0.001594, 1.16992, 0.138642, -0.08715568, 0, 0, -0.9961947, 0.1793669, 0.296486, 0.1582309, -0.6414353, -0.4140283, -0.3659396, -0.5321932
0, 0, 0, 0, 0, 0, 0, 1, 0.1816105, 0.3534481, 0.09694156, -0.357626, -0.00490161, 0.212916, -0.909256, 0.001594, 1.16992, 0.138642, -0.08715568, 0, 0, -0.9961947, 0.1793669, 0.296486, 0.1582309, -0.6414353, -0.4140283, -0.3659396, -0.5321932
0.09999999, 0, 0, 0, 0, 0, 0, 1, 0.2043178, 0.3549643, 0.09539936, -0.3590053, -0.008785487, 0.2082481, -0.9097641, 0.001594257, 1.169619, 0.1386534, -0.08715568, 0, 0, -0.9961947, 0.2029206, 0.2977461, 0.1564749, -0.6406445, -0.4178286, -0.3687759, -0.5282028
0.15, 0, 0, 0, 0, 0, 0, 1, 0.2217769, 0.359496, 0.09414545, -0.3680186, 0.02884331, 0.216561, -0.9037875, 0.00159433, 1.169536, 0.1386599, -0.08715568, 0, 0, -0.9961947, 0.2137892, 0.3021917, 0.1546311, -0.6385791, -0.3847784, -0.3788575, -0.5482969
0.2, 0, 0, 0, 0, 0, 0, 1, 0.1953588, 0.3682931, 0.09216269, -0.4090056, 0.2026952, 0.2213558, -0.8617603, 0.00159433, 1.16952, 0.1386773, -0.08715568, 0, 0, -0.9961947, 0.1597801, 0.3126595, 0.1435939, -0.6026965, -0.2332173, -0.4420999, -0.6220245
0.25, 0, 0, 0, 0, 0, 0, 1, 0.1572613, 0.3879199, 0.08788799, -0.4430913, 0.3977249, 0.2268112, -0.770741, 0.001594329, 1.16952, 0.138678, -0.08715568, 0, 0, -0.9961947, 0.09538072, 0.3400021, 0.1175659, -0.5416189, -0.03861719, -0.492159, -0.6803949
0.3, 0, 0, 0, 0, 0, 0, 1, 0.1335945, 0.423754, 0.09830298, -0.4476846, 0.5153622, 0.2785572, -0.6755637, 0.001594329, 1.169517, 0.1386811, -0.08715568, 0, 0, -0.9961947, 0.05798659, 0.3897483, 0.1098424, -0.5134732, 0.114462, -0.4691002, -0.7093581
0.35, 0, 0, 0, 0, 0, 0, 1, 0.1220486, 0.4598412, 0.1121733, -0.4569168, 0.6087323, 0.2787996, -0.5856132, 0.001594329, 1.16951, 0.1386891, -0.08715568, 0, 0, -0.9961947, 0.04228819, 0.4355015, 0.1049658, -0.4641466, 0.2345148, -0.4760672, -0.7091762
0.4, 0, 0, 0, 0, 0, 0, 1, 0.1241273, 0.4736206, 0.1391396, -0.4247594, 0.6662955, 0.1731423, -0.5879214, 0.001594329, 1.16951, 0.1386893, -0.08715568, 0, 0, -0.9961947, 0.04673188, 0.4445876, 0.1259818, -0.3592579, 0.2280331, -0.5409259, -0.7254888
0.45, 0, 0, 0, 0, 0, 0, 1, 0.1366701, 0.4835979, 0.1717731, -0.4039698, 0.6756471, 0.1033968, -0.6079625, 0.001594329, 1.169488, 0.1387162, -0.08715568, 0, 0, -0.9961947, 0.06143115, 0.448781, 0.1602411, -0.3045348, 0.1937516, -0.5809181, -0.7295568
