0, target plane transform 0.151594 1.06992 0.538642 0 0 0 1
0, grid mapping [0 0 0 -0.125  0.125 0.02659401 1.19492 0.563642] [3 1 0 -0.125  0 0.02659401 1.06992 0.563642] [6 2 0 -0.125  -0.125 0.02659401 0.9449199 0.563642] [1 0 1 0  0.125 0.151594 1.19492 0.563642] [4 1 1 0  0 0.151594 1.06992 0.563642] [7 2 1 0  -0.125 0.151594 0.9449199 0.563642] [2 0 2 0.125  0.125 0.276594 1.19492 0.563642] [5 1 2 0.125  0 0.276594 1.06992 0.563642] [8 2 2 0.125  -0.125 0.276594 0.9449199 0.563642]
0.09999999, target_spawn, target ID 0, grid ID 6
1.198, target_miss, target ID 0, grid ID 6
1.55, target_spawn, target ID 1, grid ID 3
2.648, target_miss, target ID 1, grid ID 3
3, target_spawn, target ID 2, grid ID 4
3.6, target_contact, target ID 2, grid ID 4, velocity 0.007709656 1.248558 0.3616318
4.098, target_miss, target ID 2, grid ID 4
4.45, target_spawn, target ID 3, grid ID 3
5.25, target_contact, target ID 3, grid ID 3, velocity -1.127289 -0.1382193 0.2106942
5.548, target_miss, target ID 3, grid ID 3
5.9, target_spawn, target ID 4, grid ID 8
6.998, target_miss, target ID 4, grid ID 8
7.349999, target_spawn, target ID 5, grid ID 5
8.450001, target_miss, target ID 5, grid ID 5
8.799999, target_spawn, target ID 6, grid ID 6
9.35, target_contact, target ID 6, grid ID 6, velocity -1.351547 -0.1675047 0.162433
9.898001, target_miss, target ID 6, grid ID 6
10.25, target_spawn, target ID 7, grid ID 8
11.348, target_miss, target ID 7, grid ID 8
11.7, target_spawn, target ID 8, grid ID 6
12.8, target_miss, target ID 8, grid ID 6
13.15, target_spawn, target ID 9, grid ID 8
13.7, target_contact, target ID 9, grid ID 8, velocity 1.540988 -1.280514 -0.446131
14.248, target_miss, target ID 9, grid ID 8
14.6, target_spawn, target ID 10, grid ID 4
15.3, target_contact, target ID 10, grid ID 4, velocity 0.9140072 0.1746637 0.09034775
15.698, target_miss, target ID 10, grid ID 4
16.05, target_spawn, target ID 11, grid ID 0
17.148, target_miss, target ID 11, grid ID 0
17.5, target_spawn, target ID 12, grid ID 8
17.65, target_hit, target ID 12, grid ID 8, velocity -1.347184 1.434248 1.560229
18.05, target_spawn, target ID 13, grid ID 4
18.7, target_contact, target ID 13, grid ID 4, velocity 0.8398473 1.508968 0.5046616
19.148, target_miss, target ID 13, grid ID 4
19.5, target_spawn, target ID 14, grid ID 0
20.598, target_miss, target ID 14, grid ID 0
20.95, target_spawn, target ID 15, grid ID 4
21.55, target_contact, target ID 15, grid ID 4, velocity -0.1850293 -1.239406 0.1594322
22.05, target_miss, target ID 15, grid ID 4
22.4, target_spawn, target ID 16, grid ID 5
23.498, target_miss, target ID 16, grid ID 5
23.85, target_spawn, target ID 17, grid ID 0
24.05, target_contact, target ID 17, grid ID 0, velocity -2.00165 0.5860416 0.5428074
24.8, target_hit, target ID 17, grid ID 0, velocity 0.5702436 2.687241 0.8139417
25.2, target_spawn, target ID 18, grid ID 0
25.7, target_contact, target ID 18, grid ID 0, velocity -1.991977 1.068398 0.6867588
26.3, target_miss, target ID 18, grid ID 0
26.65, target_spawn, target ID 19, grid ID 4
27.748, target_miss, target ID 19, grid ID 4
28.1, target_spawn, target ID 20, grid ID 1
29.198, target_miss, target ID 20, grid ID 1
29.55, target_spawn, target ID 21, grid ID 8
