condition easy, random seed 212815
timestamp, left_pos_x, left_pos_y, left_pos_z, left_quat_x, left_quat_y, left_quat_z, left_quat_w, right_pos_x, right_pos_y, right_pos_z, right_quat_x, right_quat_y, right_quat_z, right_quat_w, head_pos_x, head_pos_y, head_pos_z, head_quat_x, head_quat_y, head_quat_z, head_quat_w, marker_pos_x, marker_pos_y, marker_pos_z, marker_quat_x, marker_quat_y, marker_quat_z, marker_quat_w
0, 0, 0, 0, 0, 0, 0, 1, 0.1816105, 0.3534481, 0.09694156, -0.357626, -0.00490161, 0.212916, -0.909256, 0.001594, 1.16992, 0.138642, -0.08715568, 0, 0, -0.9961947, 0.1793669, 0.296486, 0.1582309, -0.6414353, -0.4140283, -0.3659396, -0.5321932
0, 0, 0, 0, 0, 0, 0, 1, 0.1816105, 0.3534481, 0.09694156, -0.357626, -0.00490161, 0.212916, -0.909256, 0.001594, 1.16992, 0.138642, -0.08715568, 0, 0, -0.9961947, 0.1793669, 0.296486, 0.1582309, -0.6414353, -0.4140283, -0.3659396, -0.5321932
0.09999999, 0, 0, 0, 0, 0, 0, 1, 0.1711785, 0.3552442, 0.09369638, -0.3639862, 0.05647016, 0.2060029, -0.9065804, 0.001625765, 1.168423, 0.1402395, -0.08715568, 0, 0, -0.9961947, 0.1597791, 0.2992766, 0.1548829, -0.6217651, -0.3733728, -0.3922121, -0.5658363
0.15, 0, 0, 0, 0, 0, 0, 1, 0.1623353, 0.3589464, 0.08783652, -0.3870473, 0.2487192, 0.1012907, -0.8820847, 0.00166134, 1.166827, 0.1421241, -0.08715568, 0, 0, -0.9961947, 0.1278391, 0.3038131, 0.1405284, -0.5040019, -0.2599016, -0.5246122, -0.6349924
0.2, 0, 0, 0, 0, 0, 0, 1, 0.1871927, 0.3638254, 0.06980304, -0.381711, 0.3786908, 0.002024309, -0.8431405, 0.001670434, 1.166391, 0.1426316, -0.08715568, 0, 0, -0.9961947, 0.1406224, 0.3087142, 0.1122302, -0.3860063, -0.1837623, -0.6121121, -0.6652439
0.25, 0, 0, 0, 0, 0, 0, 1, 0.2339298, 0.3686745, 0.04441046, -0.4322697, 0.4373556, -0.02459286, -0.7881993, 0.001665418, 1.166614, 0.1423655, -0.08715568, 0, 0, -0.9961947, 0.183851, 0.3079098, 0.07279821, -0.3668535, -0.1039751, -0.6627297, -0.644513
0.3, 0, 0, 0, 0, 0, 0, 1, 0.2929464, 0.3822136, 0.02393441, -0.5076625, 0.4484355, -0.01643131, -0.7354689, 0.001660172, 1.166849, 0.1420867, -0.08715568, 0, 0, -0.9961947, 0.2446753, 0.3154432, 0.03868974, -0.4008321, -0.03792208, -0.6933546, -0.5976245
0.35, 0, 0, 0, 0, 0, 0, 1, 0.3505023, 0.4054345, 0.02004421, -0.5655677, 0.419272, 0.00880949, -0.7101173, 0.001658825, 1.166895, 0.1420314, -0.08715568, 0, 0, -0.9961947, 0.3058835, 0.3350534, 0.02790288, -0.4550294, -0.01517007, -0.6979308, -0.5528208
0.4, 0, 0, 0, 0, 0, 0, 1, 0.4082825, 0.4387307, 0.02985768, -0.6162844, 0.4034834, 0.01080368, -0.6762235, 0.001659523, 1.166838, 0.1420996, -0.08715568, 0, 0, -0.9961947, 0.3677444, 0.365501, 0.02943744, -0.4831215, 0.01237799, -0.7141944, -0.506327
0.45, 0, 0, 0, 0, 0, 0, 1, 0.4509848, 0.473497, 0.05832184, -0.6349798, 0.3884516, -0.0001247391, -0.6677619, 0.001660303, 1.166799, 0.142145, -0.08715568, 0, 0, -0.9961947, 0.4140232, 0.3984375, 0.0558682, -0.4899927, 0.01054171, -0.7260475, -0.4823392
