0, target plane transform 0.151594 1.06992 0.538642 0 0 0 1
0, grid mapping [0 0 0 -0.125  0.125 0.02659401 1.19492 0.563642] [3 1 0 -0.125  0 0.02659401 1.06992 0.563642] [6 2 0 -0.125  -0.125 0.02659401 0.9449199 0.563642] [1 0 1 0  0.125 0.151594 1.19492 0.563642] [4 1 1 0  0 0.151594 1.06992 0.563642] [7 2 1 0  -0.125 0.151594 0.9449199 0.563642] [2 0 2 0.125  0.125 0.276594 1.19492 0.563642] [5 1 2 0.125  0 0.276594 1.06992 0.563642] [8 2 2 0.125  -0.125 0.276594 0.9449199 0.563642]
0.06, target_spawn, target ID 0, grid ID 7
1.158, target_miss, target ID 0, grid ID 7
1.51, target_spawn, target ID 1, grid ID 3
1.862, target_contact, target ID 1, grid ID 3, velocity -0.9606975 -1.367734 0.3637242
2.61, target_miss, target ID 1, grid ID 3
2.96, target_spawn, target ID 2, grid ID 4
4.06, target_miss, target ID 2, grid ID 4
4.41, target_spawn, target ID 3, grid ID 4
5.51, target_miss, target ID 3, grid ID 4
5.860001, target_spawn, target ID 4, grid ID 1
6.512, target_hit, target ID 4, grid ID 1, velocity -1.778016 0.9280638 0.9920514
6.910001, target_spawn, target ID 5, grid ID 4
7.412, target_hit, target ID 5, grid ID 4, velocity -1.548776 0.6783338 0.9293686
7.810001, target_spawn, target ID 6, grid ID 7
8.910001, target_miss, target ID 6, grid ID 7
9.260001, target_spawn, target ID 7, grid ID 1
9.962001, target_hit, target ID 7, grid ID 1, velocity -1.501782 1.646974 0.9804308
10.36, target_spawn, target ID 8, grid ID 4
10.812, target_hit, target ID 8, grid ID 4, velocity -1.504657 1.53724 0.9354343
11.21, target_spawn, target ID 9, grid ID 3
12.312, target_miss, target ID 9, grid ID 3
12.66, target_spawn, target ID 10, grid ID 2
13.762, target_miss, target ID 10, grid ID 2
14.11, target_spawn, target ID 11, grid ID 0
15.21, target_miss, target ID 11, grid ID 0
15.56, target_spawn, target ID 12, grid ID 1
16.162, target_hit, target ID 12, grid ID 1, velocity -1.89197 1.103753 1.091205
16.56, target_spawn, target ID 13, grid ID 3
17.262, target_contact, target ID 13, grid ID 3, velocity -0.3012634 -0.7405817 0.2531103
17.66, target_miss, target ID 13, grid ID 3
18.06, target_spawn, target ID 14, grid ID 7
19.16, target_miss, target ID 14, grid ID 7
19.56, target_spawn, target ID 15, grid ID 1
19.662, target_hit, target ID 15, grid ID 1, velocity -1.43536 1.704983 0.942866
20.06, target_spawn, target ID 16, grid ID 6
21.16, target_miss, target ID 16, grid ID 6
21.56, target_spawn, target ID 17, grid ID 1
22.212, target_hit, target ID 17, grid ID 1, velocity -1.448184 1.703095 0.9477069
22.61, target_spawn, target ID 18, grid ID 1
23.162, target_hit, target ID 18, grid ID 1, velocity -1.819141 0.8303478 1.097613
23.56, target_spawn, target ID 19, grid ID 1
24.062, target_hit, target ID 19, grid ID 1, velocity -1.324445 1.112053 0.8359149
24.46, target_spawn, target ID 20, grid ID 3
25.112, target_contact, target ID 20, grid ID 3, velocity -1.64395 -0.7055009 0.2217095
25.56, target_miss, target ID 20, grid ID 3
25.91, target_spawn, target ID 21, grid ID 1
26.812, target_hit, target ID 21, grid ID 1, velocity -1.578803 1.4857 0.8844384
27.21, target_spawn, target ID 22, grid ID 4
27.662, target_hit, target ID 22, grid ID 4, velocity -1.485238 1.606782 0.9539731
28.06, target_spawn, target ID 23, grid ID 5
28.462, target_hit, target ID 23, grid ID 5, velocity -1.119421 1.806727 1.274072
28.86, target_spawn, target ID 24, grid ID 1
29.412, target_hit, target ID 24, grid ID 1, velocity -1.439477 1.698012 0.8163488
29.81, target_spawn, target ID 25, grid ID 7
30.91, target_miss, target ID 25, grid ID 7
31.26, target_spawn, target ID 26, grid ID 2
31.962, target_hit, target ID 26, grid ID 2, velocity -1.384639 1.265303 1.127814
32.36, target_spawn, target ID 27, grid ID 2
32.862, target_hit, target ID 27, grid ID 2, velocity -1.23689 1.750743 1.043013
33.26, target_spawn, target ID 28, grid ID 3
33.912, target_contact, target ID 28, grid ID 3, velocity -1.05805 -0.6833108 0.3298457
34.36, target_miss, target ID 28, grid ID 3
34.71, target_spawn, target ID 29, grid ID 8
35.412, target_hit, target ID 29, grid ID 8, velocity -0.9512557 1.508968 1.371358
35.81, target_spawn, target ID 30, grid ID 2
36.91, target_miss, target ID 30, grid ID 2
37.26, target_spawn, target ID 31, grid ID 3
37.412, target_contact, target ID 31, grid ID 3, velocity -0.9465489 -0.4289717 0.3630227
38.312, target_contact, target ID 31, grid ID 3, velocity -0.3006346 -0.6701581 0.2767844
38.36, target_miss, target ID 31, grid ID 3
38.71, target_spawn, target ID 32, grid ID 4
39.012, target_hit, target ID 32, grid ID 4, velocity -1.532355 1.721482 1.090998
39.41, target_spawn, target ID 33, grid ID 7
40.012, target_hit, target ID 33, grid ID 7, velocity -1.655542 0.7187058 1.014583
40.41, target_spawn, target ID 34, grid ID 3
40.962, target_contact, target ID 34, grid ID 3, velocity -1.552406 0.009225726 0.6207809
41.51, target_miss, target ID 34, grid ID 3
41.86, target_spawn, target ID 35, grid ID 2
42.662, target_hit, target ID 35, grid ID 2, velocity -1.38294 1.323891 1.173423
43.06001, target_spawn, target ID 36, grid ID 3
43.712, target_contact, target ID 36, grid ID 3, velocity -0.8428 -0.009980112 0.3214924
44.16, target_miss, target ID 36, grid ID 3
44.51, target_spawn, target ID 37, grid ID 8
45.262, target_hit, target ID 37, grid ID 8, velocity -0.9915609 1.685509 1.433298
45.66, target_spawn, target ID 38, grid ID 7
46.76, target_miss, target ID 38, grid ID 7
47.11, target_spawn, target ID 39, grid ID 0
47.262, target_contact, target ID 39, grid ID 0, velocity -1.0659 0.3372326 0.4318863
48.162, target_contact, target ID 39, grid ID 0, velocity -1.019796 0.2077583 0.415898
48.21, target_miss, target ID 39, grid ID 0
48.56001, target_spawn, target ID 40, grid ID 8
48.962, target_hit, target ID 40, grid ID 8, velocity -1.394141 0.6934673 1.477166
49.36, target_spawn, target ID 41, grid ID 0
50.46, target_miss, target ID 41, grid ID 0
50.81001, target_spawn, target ID 42, grid ID 5
51.712, target_hit, target ID 42, grid ID 5, velocity -0.9436159 2.007826 1.213408
52.11, target_spawn, target ID 43, grid ID 5
52.612, target_hit, target ID 43, grid ID 5, velocity -1.41892 1.526786 1.18397
53.01001, target_spawn, target ID 44, grid ID 5
53.512, target_hit, target ID 44, grid ID 5, velocity -1.292757 1.627352 1.284371
53.91, target_spawn, target ID 45, grid ID 1
54.412, target_hit, target ID 45, grid ID 1, velocity -1.307666 1.456308 0.8288728
54.81001, target_spawn, target ID 46, grid ID 6
55.462, target_contact, target ID 46, grid ID 6, velocity -0.3085023 -1.069796 0.1226469
55.91, target_miss, target ID 46, grid ID 6
56.26001, target_spawn, target ID 47, grid ID 6
57.262, target_contact, target ID 47, grid ID 6, velocity -0.4270203 -1.276782 0.1564308
57.36, target_miss, target ID 47, grid ID 6
57.71001, target_spawn, target ID 48, grid ID 6
58.062, target_contact, target ID 48, grid ID 6, velocity -1.135928 -0.06686407 0.3825492
58.81, target_miss, target ID 48, grid ID 6
59.16, target_spawn, target ID 49, grid ID 4
59.712, target_hit, target ID 49, grid ID 4, velocity -1.134526 1.282524 0.8873761
60.01001, episode statistics, contacts 13, hits 26, misses 24, hit rate 0.52
