condition easy, random seed 640310
timestamp, left_pos_x, left_pos_y, left_pos_z, left_quat_x, left_quat_y, left_quat_z, left_quat_w, right_pos_x, right_pos_y, right_pos_z, right_quat_x, right_quat_y, right_quat_z, right_quat_w, head_pos_x, head_pos_y, head_pos_z, head_quat_x, head_quat_y, head_quat_z, head_quat_w, marker_pos_x, marker_pos_y, marker_pos_z, marker_quat_x, marker_quat_y, marker_quat_z, marker_quat_w
0, 0, 0, 0, 0, 0, 0, 1, 0.1816105, 0.3534481, 0.09694156, -0.357626, -0.00490161, 0.212916, -0.909256, 0.001594, 1.16992, 0.138642, -0.08715568, 0, 0, -0.9961947, 0.1793669, 0.296486, 0.1582309, -0.6414353, -0.4140283, -0.3659396, -0.5321932
0, 0, 0, 0, 0, 0, 0, 1, 0.1816105, 0.3534481, 0.09694156, -0.357626, -0.00490161, 0.212916, -0.909256, 0.001594, 1.16992, 0.138642, -0.08715568, 0, 0, -0.9961947, 0.1793669, 0.296486, 0.1582309, -0.6414353, -0.4140283, -0.3659396, -0.5321932
0.06, 0, 0, 0, 0, 0, 0, 1, 0.1747492, 0.3541149, 0.09523889, -0.3777271, 0.05425034, 0.2171808, -0.8984496, 0.001625735, 1.168416, 0.1402491, -0.08715568, 0, 0, -0.9961947, 0.1625238, 0.2963987, 0.1546146, -0.6358972, -0.3620494, -0.3907782, -0.5584332
0.11, 0, 0, 0, 0, 0, 0, 1, 0.139887, 0.3598719, 0.08141543, -0.4395656, 0.2355766, 0.2299759, -0.8357014, 0.001661239, 1.166835, 0.1421153, -0.08715568, 0, 0, -0.9961947, 0.09843926, 0.3027765, 0.1264521, -0.6099076, -0.1837333, -0.458318, -0.6198382
0.16, 0, 0, 0, 0, 0, 0, 1, 0.1393067, 0.3777544, 0.04812873, -0.5150177, 0.3281211, 0.3303686, -0.7196873, 0.001670461, 1.166403, 0.1426175, -0.08715568, 0, 0, -0.9961947, 0.07763674, 0.3264976, 0.07212136, -0.659368, 0.002788961, -0.435816, -0.6126096
0.21, 0, 0, 0, 0, 0, 0, 1, 0.1789339, 0.4089114, 0.02264679, -0.583093, 0.3445004, 0.4410015, -0.588931, 0.001665444, 1.166614, 0.1423658, -0.08715568, 0, 0, -0.9961947, 0.1063856, 0.3678254, 0.03004852, -0.7291621, 0.1510979, -0.3745423, -0.5524584
0.26, 0, 0, 0, 0, 0, 0, 1, 0.2593907, 0.422817, 0.007866184, -0.6372797, 0.3353045, 0.3855116, -0.576911, 0.001660168, 1.166844, 0.1420928, -0.08715568, 0, 0, -0.9961947, 0.1911902, 0.3743554, 0.005362394, -0.7272435, 0.1524505, -0.438256, -0.5057741
0.31, 0, 0, 0, 0, 0, 0, 1, 0.354977, 0.4475429, 0.008153164, -0.6673908, 0.3163967, 0.29379, -0.6067703, 0.001658821, 1.166893, 0.1420341, -0.08715568, 0, 0, -0.9961947, 0.2966107, 0.3878505, 0.002128334, -0.702356, 0.1025294, -0.5192932, -0.4759395
0.36, 0, 0, 0, 0, 0, 0, 1, 0.4408911, 0.4930424, 0.03582609, -0.6669166, 0.2999181, 0.2152608, -0.6472512, 0.001659566, 1.166816, 0.142125, -0.08715568, 0, 0, -0.9961947, 0.3918013, 0.4253197, 0.03267477, -0.6689198, 0.04213214, -0.5762417, -0.4676717
0.41, 0, 0, 0, 0, 0, 0, 1, 0.50941, 0.5572647, 0.09952045, -0.6320121, 0.2919769, 0.1294935, -0.706075, 0.001660278, 1.166746, 0.1422072, -0.08715568, 0, 0, -0.9961947, 0.4691527, 0.4841756, 0.106111, -0.6118819, -0.03714699, -0.6238339, -0.4848219
