0, target plane transform 0.151594 1.06992 0.538642 0 0 0 1
0, grid mapping [0 0 0 -0.125  0.125 0.02659401 1.19492 0.563642] [3 1 0 -0.125  0 0.02659401 1.06992 0.563642] [6 2 0 -0.125  -0.125 0.02659401 0.9449199 0.563642] [1 0 1 0  0.125 0.151594 1.19492 0.563642] [4 1 1 0  0 0.151594 1.06992 0.563642] [7 2 1 0  -0.125 0.151594 0.9449199 0.563642] [2 0 2 0.125  0.125 0.276594 1.19492 0.563642] [5 1 2 0.125  0 0.276594 1.06992 0.563642] [8 2 2 0.125  -0.125 0.276594 0.9449199 0.563642]
0.09999999, target_spawn, target ID 0, grid ID 6
1.198, target_miss, target ID 0, grid ID 6
1.55, target_spawn, target ID 1, grid ID 3
2.648, target_miss, target ID 1, grid ID 3
3, target_spawn, target ID 2, grid ID 4
4.098, target_miss, target ID 2, grid ID 4
4.45, target_spawn, target ID 3, grid ID 3
5.548, target_miss, target ID 3, grid ID 3
5.9, target_spawn, target ID 4, grid ID 8
6.75, target_hit, target ID 4, grid ID 8, velocity -0.1804903 1.518324 0.8042768
7.15, target_spawn, target ID 5, grid ID 5
8.248, target_miss, target ID 5, grid ID 5
8.599999, target_spawn, target ID 6, grid ID 7
9.698001, target_miss, target ID 6, grid ID 7
10.05, target_spawn, target ID 7, grid ID 5
11.148, target_miss, target ID 7, grid ID 5
11.5, target_spawn, target ID 8, grid ID 7
12.598, target_miss, target ID 8, grid ID 7
12.95, target_spawn, target ID 9, grid ID 5
14.05, target_miss, target ID 9, grid ID 5
14.4, target_spawn, target ID 10, grid ID 0
15.498, target_miss, target ID 10, grid ID 0
15.85, target_spawn, target ID 11, grid ID 8
16.948, target_miss, target ID 11, grid ID 8
17.3, target_spawn, target ID 12, grid ID 5
17.5, target_hit, target ID 12, grid ID 5, velocity -1.636833 1.618639 1.490533
17.9, target_spawn, target ID 13, grid ID 1
18.998, target_miss, target ID 13, grid ID 1
19.35, target_spawn, target ID 14, grid ID 2
20.448, target_miss, target ID 14, grid ID 2
20.8, target_spawn, target ID 15, grid ID 0
21.65, target_contact, target ID 15, grid ID 0, velocity 0.2024924 2.386444 0.758747
21.898, target_miss, target ID 15, grid ID 0
22.25, target_spawn, target ID 16, grid ID 1
22.5, target_contact, target ID 16, grid ID 1, velocity -1.72124 1.208438 0.6261757
23.25, target_hit, target ID 16, grid ID 1, velocity 0.2434885 3.03098 1.130916
23.65, target_spawn, target ID 17, grid ID 7
24.748, target_miss, target ID 17, grid ID 7
25.1, target_spawn, target ID 18, grid ID 7
25.75, target_contact, target ID 18, grid ID 7, velocity -0.5965988 0.7679849 0.5068527
26.198, target_miss, target ID 18, grid ID 7
26.55, target_spawn, target ID 19, grid ID 3
27.648, target_miss, target ID 19, grid ID 3
28, target_spawn, target ID 20, grid ID 8
28.7, target_hit, target ID 20, grid ID 8, velocity -0.1343339 2.157547 1.612999
29.1, target_spawn, target ID 21, grid ID 7
30.198, target_miss, target ID 21, grid ID 7
30.55, target_spawn, target ID 22, grid ID 7
31.25, target_hit, target ID 22, grid ID 7, velocity 0.3997697 2.961426 1.950069
31.65, target_spawn, target ID 23, grid ID 3
32.25, target_contact, target ID 23, grid ID 3, velocity -1.249432 -0.008037299 0.1442708
32.748, target_miss, target ID 23, grid ID 3
33.1, target_spawn, target ID 24, grid ID 0
34.198, target_miss, target ID 24, grid ID 0
