condition easy, random seed 212815
timestamp, left_pos_x, left_pos_y, left_pos_z, left_quat_x, left_quat_y, left_quat_z, left_quat_w, right_pos_x, right_pos_y, right_pos_z, right_quat_x, right_quat_y, right_quat_z, right_quat_w, head_pos_x, head_pos_y, head_pos_z, head_quat_x, head_quat_y, head_quat_z, head_quat_w, marker_pos_x, marker_pos_y, marker_pos_z, marker_quat_x, marker_quat_y, marker_quat_z, marker_quat_w
0, 0, 0, 0, 0, 0, 0, 1, 0.1816105, 0.3534481, 0.09694156, -0.357626, -0.00490161, 0.212916, -0.909256, 0.001594, 1.16992, 0.138642, -0.08715568, 0, 0, -0.9961947, 0.1793669, 0.296486, 0.1582309, -0.6414353, -0.4140283, -0.3659396, -0.5321932
0, 0, 0, 0, 0, 0, 0, 1, 0.1816105, 0.3534481, 0.09694156, -0.357626, -0.00490161, 0.212916, -0.909256, 0.001594, 1.16992, 0.138642, -0.08715568, 0, 0, -0.9961947, 0.1793669, 0.296486, 0.1582309, -0.6414353, -0.4140283, -0.3659396, -0.5321932
0.09999999, 0, 0, 0, 0, 0, 0, 1, 0.1849916, 0.3544938, 0.09106777, -0.3485646, -0.01298589, 0.2288155, -0.9088331, 0.001625729, 1.168432, 0.1402296, -0.08715568, 0, 0, -0.9961947, 0.1832817, 0.2983728, 0.1531452, -0.648162, -0.4168219, -0.3474177, -0.5342721
0.15, 0, 0, 0, 0, 0, 0, 1, 0.1995326, 0.3539612, 0.08157793, -0.3556438, -0.002403347, 0.1980121, -0.9134019, 0.001661381, 1.166844, 0.1421034, -0.08715568, 0, 0, -0.9961947, 0.1979419, 0.2974076, 0.1432647, -0.6311179, -0.4202068, -0.3761737, -0.5325505
0.2, 0, 0, 0, 0, 0, 0, 1, 0.19404, 0.3569686, 0.07794244, -0.3911466, 0.1797559, 0.1129194, -0.8955118, 0.00167047, 1.166369, 0.1426567, -0.08715568, 0, 0, -0.9961947, 0.1690879, 0.2998114, 0.1337684, -0.5389065, -0.3077128, -0.5029792, -0.6015851
0.25, 0, 0, 0, 0, 0, 0, 1, 0.193153, 0.3603889, 0.03616677, -0.4608685, 0.4501848, 0.008857827, -0.7647584, 0.001665324, 1.166598, 0.1423849, -0.08715568, 0, 0, -0.9961947, 0.1405117, 0.2991564, 0.05820237, -0.3955696, -0.06201938, -0.6565763, -0.6392074
0.3, 0, 0, 0, 0, 0, 0, 1, 0.2415114, 0.3710195, -0.003352533, -0.5300844, 0.5162823, -0.00462887, -0.6726378, 0.001660161, 1.166874, 0.1420574, -0.08715568, 0, 0, -0.9961947, 0.1879438, 0.3067034, -0.003150331, -0.3832276, 0.05594438, -0.7018454, -0.5978461
0.35, 0, 0, 0, 0, 0, 0, 1, 0.3018075, 0.3907787, -0.0312028, -0.6012772, 0.535756, -0.009593362, -0.5927388, 0.001658854, 1.166937, 0.1419827, -0.08715568, 0, 0, -0.9961947, 0.2531531, 0.3248569, -0.04832494, -0.395353, 0.1395292, -0.7325054, -0.5363429
0.4, 0, 0, 0, 0, 0, 0, 1, 0.3700145, 0.4232898, -0.04501519, -0.6799284, 0.4995228, 0.01229809, -0.5366779, 0.001659567, 1.166887, 0.1420409, -0.08715568, 0, 0, -0.9961947, 0.3279622, 0.35691, -0.07384953, -0.4534513, 0.1827009, -0.7411315, -0.4601374
0.45, 0, 0, 0, 0, 0, 0, 1, 0.4279979, 0.4704152, -0.04527118, -0.7609101, 0.402811, 0.09641498, -0.4994631, 0.001660331, 1.166841, 0.1420962, -0.08715568, 0, 0, -0.9961947, 0.3880557, 0.4063751, -0.08145913, -0.5768608, 0.1947906, -0.6989419, -0.3751915
