condition easy, random seed 212815
timestamp, left_pos_x, left_pos_y, left_pos_z, left_quat_x, left_quat_y, left_quat_z, left_quat_w, right_pos_x, right_pos_y, right_pos_z, right_quat_x, right_quat_y, right_quat_z, right_quat_w, head_pos_x, head_pos_y, head_pos_z, head_quat_x, head_quat_y, head_quat_z, head_quat_w, marker_pos_x, marker_pos_y, marker_pos_z, marker_quat_x, marker_quat_y, marker_quat_z, marker_quat_w
0, 0, 0, 0, 0, 0, 0, 1, 0.1816105, 0.3534481, 0.09694156, -0.357626, -0.00490161, 0.212916, -0.909256, 0.001594, 1.16992, 0.138642, -0.08715568, 0, 0, -0.9961947, 0.1793669, 0.296486, 0.1582309, -0.6414353, -0.4140283, -0.3659396, -0.5321932
0, 0, 0, 0, 0, 0, 0, 1, 0.1816105, 0.3534481, 0.09694156, -0.357626, -0.00490161, 0.212916, -0.909256, 0.001594, 1.16992, 0.138642, -0.08715568, 0, 0, -0.9961947, 0.1793669, 0.296486, 0.1582309, -0.6414353, -0.4140283, -0.3659396, -0.5321932
0.09999999, 0, 0, 0, 0, 0, 0, 1, 0.1779834, 0.3600698, 0.1057931, -0.3323504, 0.003799696, 0.2508054, -0.9091895, 0.001625787, 1.168417, 0.140247, -0.08715568, 0, 0, -0.9961947, 0.1729799, 0.306518, 0.1699278, -0.6469823, -0.4045716, -0.3281957, -0.5567975
0.15, 0, 0, 0, 0, 0, 0, 1, 0.1721122, 0.3681425, 0.108014, -0.3059712, 0.02473775, 0.2919042, -0.9058486, 0.001661342, 1.166844, 0.1421036, -0.08715568, 0, 0, -0.9961947, 0.1626113, 0.3189219, 0.1750451, -0.6492071, -0.3845752, -0.2904195, -0.5884629
0.2, 0, 0, 0, 0, 0, 0, 1, 0.1722655, 0.3829812, 0.1295213, -0.2598687, 0.06231467, 0.2929613, -0.9180189, 0.001670508, 1.166374, 0.1426503, -0.08715568, 0, 0, -0.9961947, 0.1590818, 0.3418308, 0.2012077, -0.6128709, -0.3819903, -0.2752296, -0.6346034
0.25, 0, 0, 0, 0, 0, 0, 1, 0.1775762, 0.4134383, 0.1731335, -0.1963816, 0.1252734, 0.3088744, -0.9221374, 0.00166537, 1.166573, 0.142414, -0.08715568, 0, 0, -0.9961947, 0.1568725, 0.3848166, 0.2490167, -0.5648979, -0.3587974, -0.2446866, -0.701629
0.3, 0, 0, 0, 0, 0, 0, 1, 0.1265763, 0.4577492, 0.2115796, -0.1657448, 0.3046323, 0.3264021, -0.8793119, 0.001660097, 1.166828, 0.1421112, -0.08715568, 0, 0, -0.9961947, 0.07981329, 0.4445383, 0.2797323, -0.489627, -0.2209242, -0.2553094, -0.8039123
0.35, 0, 0, 0, 0, 0, 0, 1, 0.02559496, 0.5325217, 0.2283397, -0.1262261, 0.534746, 0.3376145, -0.7642841, 0.001658787, 1.166917, 0.142006, -0.08715568, 0, 0, -0.9961947, -0.04679997, 0.5412288, 0.2694403, -0.3674871, -0.008984596, -0.2578964, -0.8935111
0.4, 0, 0, 0, 0, 0, 0, 1, -0.03653523, 0.6662936, 0.2299465, -0.006893684, 0.7019414, 0.3498153, -0.6203709, 0.001659599, 1.166888, 0.1420402, -0.08715568, 0, 0, -0.9961947, -0.1109018, 0.7032115, 0.2405666, -0.2053023, 0.15764, -0.1809101, -0.9488268
0.45, 0, 0, 0, 0, 0, 0, 1, -0.01559023, 0.8129594, 0.2151659, 0.1757291, 0.7629907, 0.3294938, -0.5276347, 0.0016603, 1.166863, 0.1420704, -0.08715568, 0, 0, -0.9961947, -0.07565948, 0.8705323, 0.2060473, -0.02938671, 0.194876, -0.06731932, -0.9780736
