condition easy, random seed 212815
timestamp, left_pos_x, left_pos_y, left_pos_z, left_quat_x, left_quat_y, left_quat_z, left_quat_w, right_pos_x, right_pos_y, right_pos_z, right_quat_x, right_quat_y, right_quat_z, right_quat_w, head_pos_x, head_pos_y, head_pos_z, head_quat_x, head_quat_y, head_quat_z, head_quat_w, marker_pos_x, marker_pos_y, marker_pos_z, marker_quat_x, marker_quat_y, marker_quat_z, marker_quat_w
0, 0, 0, 0, 0, 0, 0, 1, 0.1816105, 0.3534481, 0.09694156, -0.357626, -0.00490161, 0.212916, -0.909256, 0.001594, 1.16992, 0.138642, -0.08715568, 0, 0, -0.9961947, 0.1793669, 0.296486, 0.1582309, -0.6414353, -0.4140283, -0.3659396, -0.5321932
0, 0, 0, 0, 0, 0, 0, 1, 0.1816105, 0.3534481, 0.09694156, -0.357626, -0.00490161, 0.212916, -0.909256, 0.001594, 1.16992, 0.138642, -0.08715568, 0, 0, -0.9961947, 0.1793669, 0.296486, 0.1582309, -0.6414353, -0.4140283, -0.3659396, -0.5321932
0.09999999, 0, 0, 0, 0, 0, 0, 1, 0.17785, 0.3665381, 0.1254068, -0.3108343, 0.01039308, 0.2500826, -0.9169148, 0.001625868, 1.168397, 0.1402703, -0.08715568, 0, 0, -0.9961947, 0.1727742, 0.3160937, 0.1920078, -0.6331592, -0.4120211, -0.3191821, -0.5722508
0.15, 0, 0, 0, 0, 0, 0, 1, 0.1746906, 0.4047322, 0.1859221, -0.2139061, 0.06800266, 0.305371, -0.9254017, 0.001661313, 1.166799, 0.142157, -0.08715568, 0, 0, -0.9961947, 0.1622399, 0.3705571, 0.2613087, -0.5920559, -0.3931801, -0.2417904, -0.6606184
0.2, 0, 0, 0, 0, 0, 0, 1, 0.1693023, 0.4766602, 0.2553304, -0.1095699, 0.1853366, 0.3641298, -0.9061204, 0.00167046, 1.166347, 0.1426823, -0.08715568, 0, 0, -0.9961947, 0.1423886, 0.4655731, 0.3338086, -0.5220593, -0.319642, -0.1671682, -0.7728764
0.25, 0, 0, 0, 0, 0, 0, 1, 0.1780866, 0.6151226, 0.3177102, 0.05300383, 0.3291903, 0.3888701, -0.858839, 0.001665337, 1.16657, 0.1424167, -0.08715568, 0, 0, -0.9961947, 0.140448, 0.6387988, 0.3886247, -0.3766574, -0.2390866, -0.07648548, -0.8916934
0.3, 0, 0, 0, 0, 0, 0, 1, 0.1972374, 0.7857245, 0.3151742, 0.2251433, 0.4625446, 0.305853, -0.8011348, 0.001660103, 1.166854, 0.1420808, -0.08715568, 0, 0, -0.9961947, 0.1520601, 0.8375697, 0.362894, -0.1560584, -0.1940657, -0.04203425, -0.9675833
0.35, 0, 0, 0, 0, 0, 0, 1, 0.1665092, 0.9136178, 0.2481724, 0.3191784, 0.6091976, 0.1801394, -0.7032449, 0.001658843, 1.166944, 0.1419734, -0.08715568, 0, 0, -0.9961947, 0.107828, 0.9716955, 0.2619421, 0.05831602, -0.1042138, -0.07681397, -0.9898679
0.4, 0, 0, 0, 0, 0, 0, 1, 0.1406521, 0.9747228, 0.1732951, 0.3568883, 0.7105709, 0.1001106, -0.5980783, 0.001659614, 1.166895, 0.142032, -0.08715568, 0, 0, -0.9961947, 0.07668689, 1.027047, 0.1600028, 0.1960609, -0.007755697, -0.1026857, -0.9751696
0.45, 0, 0, 0, 0, 0, 0, 1, 0.1233566, 0.9811181, 0.151727, 0.320702, 0.7672672, 0.1215632, -0.5419167, 0.00166033, 1.166838, 0.1420991, -0.08715568, 0, 0, -0.9961947, 0.05969431, 1.030327, 0.1286683, 0.1933251, 0.08179462, -0.1124825, -0.9712275
