condition easy, random seed 349247
timestamp, left_pos_x, left_pos_y, left_pos_z, left_quat_x, left_quat_y, left_quat_z, left_quat_w, right_pos_x, right_pos_y, right_pos_z, right_quat_x, right_quat_y, right_quat_z, right_quat_w, head_pos_x, head_pos_y, head_pos_z, head_quat_x, head_quat_y, head_quat_z, head_quat_w, marker_pos_x, marker_pos_y, marker_pos_z, marker_quat_x, marker_quat_y, marker_quat_z, marker_quat_w
0, 0, 0, 0, 0, 0, 0, 1, 0.1816105, 0.3534481, 0.09694156, -0.357626, -0.00490161, 0.212916, -0.909256, 0.001594, 1.16992, 0.138642, -0.08715568, 0, 0, -0.9961947, 0.1793669, 0.296486, 0.1582309, -0.6414353, -0.4140283, -0.3659396, -0.5321932
0, 0, 0, 0, 0, 0, 0, 1, 0.1816105, 0.3534481, 0.09694156, -0.357626, -0.00490161, 0.212916, -0.909256, 0.001594, 1.16992, 0.138642, -0.08715568, 0, 0, -0.9961947, 0.1793669, 0.296486, 0.1582309, -0.6414353, -0.4140283, -0.3659396, -0.5321932
0.06, 0, 0, 0, 0, 0, 0, 1, 0.1740625, 0.3545314, 0.09904128, -0.3713567, 0.04618501, 0.2177326, -0.9014176, 0.001625818, 1.168407, 0.1402588, -0.08715568, 0, 0, -0.9961947, 0.1632403, 0.2973548, 0.1592062, -0.6355183, -0.3708447, -0.3847916, -0.5572488
0.11, 0, 0, 0, 0, 0, 0, 1, 0.1621077, 0.3630545, 0.09157168, -0.4300686, 0.2146367, 0.239602, -0.8435419, 0.001661286, 1.166834, 0.1421164, -0.08715568, 0, 0, -0.9961947, 0.1231299, 0.3062991, 0.1391706, -0.6187081, -0.2020522, -0.442109, -0.617183
0.16, 0, 0, 0, 0, 0, 0, 1, 0.200985, 0.3796334, 0.08053625, -0.4650263, 0.234039, 0.3254684, -0.7893331, 0.00167049, 1.166399, 0.1426222, -0.08715568, 0, 0, -0.9961947, 0.1523552, 0.3246022, 0.1206961, -0.6737903, -0.1183811, -0.3993496, -0.610338
0.21, 0, 0, 0, 0, 0, 0, 1, 0.2506709, 0.401852, 0.07211234, -0.4991159, 0.2351526, 0.3886259, -0.7379407, 0.00166547, 1.16659, 0.1423927, -0.08715568, 0, 0, -0.9961947, 0.1959836, 0.3481232, 0.1057072, -0.7201168, -0.05531469, -0.3658158, -0.5869847
0.26, 0, 0, 0, 0, 0, 0, 1, 0.2971256, 0.4334779, 0.08916945, -0.505864, 0.245118, 0.4265764, -0.7085559, 0.001660145, 1.16679, 0.1421558, -0.08715568, 0, 0, -0.9961947, 0.2381059, 0.3830195, 0.120422, -0.7368522, -0.01658919, -0.340124, -0.5840286
0.31, 0, 0, 0, 0, 0, 0, 1, 0.3457137, 0.4652337, 0.1280768, -0.4976257, 0.2604641, 0.3885337, -0.730458, 0.001658746, 1.166832, 0.1421053, -0.08715568, 0, 0, -0.9961947, 0.2880527, 0.413758, 0.1601948, -0.709219, -0.03485908, -0.370334, -0.5988708
0.36, 0, 0, 0, 0, 0, 0, 1, 0.3862505, 0.508123, 0.1932076, -0.4701526, 0.292309, 0.3023448, -0.7759508, 0.001659504, 1.166787, 0.1421589, -0.08715568, 0, 0, -0.9961947, 0.3316698, 0.4554, 0.2285251, -0.6406283, -0.07811914, -0.4309998, -0.63066
0.41, 0, 0, 0, 0, 0, 0, 1, 0.4053439, 0.5772725, 0.2846386, -0.4181823, 0.3428401, 0.205417, -0.8157133, 0.001660289, 1.166744, 0.14221, -0.08715568, 0, 0, -0.9961947, 0.3514316, 0.5270291, 0.3243269, -0.5421734, -0.1164238, -0.4867364, -0.6749676
