0, target plane transform 0.151594 1.06992 0.538642 0 0 0 1
0, grid mapping [0 0 0 -0.125  0.125 0.02659401 1.19492 0.563642] [3 1 0 -0.125  0 0.02659401 1.06992 0.563642] [6 2 0 -0.125  -0.125 0.02659401 0.9449199 0.563642] [1 0 1 0  0.125 0.151594 1.19492 0.563642] [4 1 1 0  0 0.151594 1.06992 0.563642] [7 2 1 0  -0.125 0.151594 0.9449199 0.563642] [2 0 2 0.125  0.125 0.276594 1.19492 0.563642] [5 1 2 0.125  0 0.276594 1.06992 0.563642] [8 2 2 0.125  -0.125 0.276594 0.9449199 0.563642]
0.09999999, target_spawn, target ID 0, grid ID 6
1.198, target_miss, target ID 0, grid ID 6
1.55, target_spawn, target ID 1, grid ID 3
2.648, target_miss, target ID 1, grid ID 3
3, target_spawn, target ID 2, grid ID 4
4.098, target_miss, target ID 2, grid ID 4
4.45, target_spawn, target ID 3, grid ID 3
5.548, target_miss, target ID 3, grid ID 3
5.9, target_spawn, target ID 4, grid ID 8
6.15, target_hit, target ID 4, grid ID 8, velocity -1.341555 0.5193518 1.027541
6.55, target_spawn, target ID 5, grid ID 5
7.150001, target_contact, target ID 5, grid ID 5, velocity 0.01204361 0.2627018 -0.3332407
7.648, target_miss, target ID 5, grid ID 5
8, target_spawn, target ID 6, grid ID 7
9.098001, target_miss, target ID 6, grid ID 7
9.45, target_spawn, target ID 7, grid ID 5
10.55, target_miss, target ID 7, grid ID 5
10.9, target_spawn, target ID 8, grid ID 7
12, target_miss, target ID 8, grid ID 7
12.35, target_spawn, target ID 9, grid ID 5
13.448, target_miss, target ID 9, grid ID 5
13.8, target_spawn, target ID 10, grid ID 0
14.898, target_miss, target ID 10, grid ID 0
15.25, target_spawn, target ID 11, grid ID 8
15.5, target_hit, target ID 11, grid ID 8, velocity 0.3518305 2.221379 1.111638
15.9, target_spawn, target ID 12, grid ID 5
16.2, target_hit, target ID 12, grid ID 5, velocity -0.2108 2.424407 1.043919
16.6, target_spawn, target ID 13, grid ID 1
16.9, target_hit, target ID 13, grid ID 1, velocity -0.7393447 3.218833 1.183214
17.3, target_spawn, target ID 14, grid ID 2
17.75, target_hit, target ID 14, grid ID 2, velocity -0.4872478 2.431736 0.941602
18.15, target_spawn, target ID 15, grid ID 0
19.248, target_miss, target ID 15, grid ID 0
19.6, target_spawn, target ID 16, grid ID 1
19.9, target_hit, target ID 16, grid ID 1, velocity -0.3806769 2.741971 0.9018202
20.3, target_spawn, target ID 17, grid ID 7
20.55, target_hit, target ID 17, grid ID 7, velocity -0.051886 2.157201 1.249717
20.95, target_spawn, target ID 18, grid ID 2
21.3, target_hit, target ID 18, grid ID 2, velocity -0.4626485 2.320972 0.9525821
21.7, target_spawn, target ID 19, grid ID 0
22.8, target_miss, target ID 19, grid ID 0
23.15, target_spawn, target ID 20, grid ID 3
24.248, target_miss, target ID 20, grid ID 3
24.6, target_spawn, target ID 21, grid ID 0
25.698, target_miss, target ID 21, grid ID 0
26.05, target_spawn, target ID 22, grid ID 0
27.148, target_miss, target ID 22, grid ID 0
27.5, target_spawn, target ID 23, grid ID 7
27.95, target_hit, target ID 23, grid ID 7, velocity -0.2162092 2.242559 1.296755
28.35, target_spawn, target ID 24, grid ID 2
28.7, target_hit, target ID 24, grid ID 2, velocity 0.1036083 3.464749 1.221609
29.1, target_spawn, target ID 25, grid ID 2
